$ eslint .
=== test spot batch fetch directly ===
1175 symbols returned:
  RUNGUSDT   price=10.62
  RSLVUSDT   price=54.14
  RDNNUSDT   price=3.24
  RUECUSDT   price=10.53
  RGSUSDT    price=1057.4
  RURAUSDT   price=43.08
  RCUSDT     price=141.05
  RCOPXUSDT  price=76.52
  RYANGUSDT  price=34.28
  RSCCOUSDT  price=175.5
  RWFCUSDT   price=87.15
  RFCXUSDT   price=61.59
  RSCHWUSDT  price=103.06
  RYINNUSDT  price=25.37
  RALBUSDT   price=127.32
  RSEDGUSDT  price=55.63
  RCOFUSDT   price=201.75
  RENPHUSDT  price=44.88
  RTEAMUSDT  price=88.99
  RBZUSDT    price=13.76
  RAXPUSDT   price=350.57
  RWDAYUSDT  price=137.84
  RDOCUUSDT  price=49.07
  RJNJUSDT   price=256.88
  ROKTAUSDT  price=138.13
  RFTNTUSDT  price=157.71
  RUNHUSDT   price=424.45
  RIBMUSDT   price=288.15
  RSOXLUSDT  price=194.24
  RREMXUSDT  price=79.23
  RHIMXUSDT  price=15.2
  RDUOLUSDT  price=124.88
  RHPEUSDT   price=48.57
  RDOCNUSDT  price=131.27
  RKOUSDT    price=83.79
  RDISUSDT   price=95.69
  RCRSPUSDT  price=53.87
  RGWREUSDT  price=136.96
  RLCIDUSDT  price=5.59
  RLMTUSDT   price=524.45
  RMCDUSDT   price=274.9
  RMNDYUSDT  price=82.26
  RPEPUSDT   price=137.32
  RPYPLUSDT  price=46.28
  RCGNXUSDT  price=67.13
  RRACEUSDT  price=376.75
  RCELHUSDT  price=30.6
  RCAVAUSDT  price=72.13
  RROKUUSDT  price=140.57
  RBWXTUSDT  price=187.2
  RSONYUSDT  price=20.91
  RBKSYUSDT  price=25.21
  RADPUSDT   price=242.5
  RABBVUSDT  price=248.83
